page,path,readiness,route_registered,uses_trpc,uses_fetch,has_mutation,has_query,has_interaction,has_placeholder,has_no_check,has_hardcoded_money
AgentCoordinationHub,client/src/pages/AgentCoordinationHub.tsx,integration-backed-review,True,True,False,True,True,True,True,False,True
AgentDebate,client/src/pages/AgentDebate.tsx,interactive-review,True,False,False,False,False,True,False,False,True
AgentDetail,client/src/pages/AgentDetail.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AgentMarketplace,client/src/pages/AgentMarketplace.tsx,integration-backed-review,True,True,False,False,True,True,True,False,False
AgentPerformance,client/src/pages/AgentPerformance.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AgentSprint,client/src/pages/AgentSprint.tsx,static-review,True,False,False,False,False,False,False,False,True
AgentsDashboard,client/src/pages/AgentsDashboard.tsx,interactive-review,True,False,False,False,False,True,False,False,True
AlertConfiguration,client/src/pages/AlertConfiguration.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AlertDialog,client/src/pages/AlertDialog.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AlertManagement,client/src/pages/AlertManagement.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AmbientFeed,client/src/pages/AmbientFeed.tsx,integration-backed-review,True,True,False,False,True,True,True,False,True
Analytics,client/src/pages/Analytics.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AnalyticsDashboard,client/src/pages/AnalyticsDashboard.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AnalyticsProducts,client/src/pages/AnalyticsProducts.tsx,interactive-review,True,False,False,False,False,True,True,False,True
AnalyticsReports,client/src/pages/AnalyticsReports.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AnomalyDetection,client/src/pages/AnomalyDetection.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AntiSurveillance,client/src/pages/AntiSurveillance.tsx,interactive-review,True,False,False,False,False,True,False,False,False
ApprovalWorkflows,client/src/pages/ApprovalWorkflows.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
ArbitrageBot,client/src/pages/ArbitrageBot.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
Arcade,client/src/pages/Arcade.tsx,integration-backed-review,True,True,False,False,True,False,True,False,False
ArchiveManagement,client/src/pages/ArchiveManagement.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AssetAllocation,client/src/pages/AssetAllocation.tsx,static-review,True,False,False,False,False,False,False,False,False
AssetManagement,client/src/pages/AssetManagement.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AssetTracking,client/src/pages/AssetTracking.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AssignmentTracker,client/src/pages/AssignmentTracker.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AttributionModeling,client/src/pages/AttributionModeling.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AudienceSegmentation,client/src/pages/AudienceSegmentation.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AudioAnalytics,client/src/pages/AudioAnalytics.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AudioEditing,client/src/pages/AudioEditing.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AudioLibrary,client/src/pages/AudioLibrary.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AudioPlayer,client/src/pages/AudioPlayer.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AuditLog,client/src/pages/AuditLog.tsx,static-review,True,False,False,False,False,False,False,False,False
AuditLogs,client/src/pages/AuditLogs.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AuditTrail,client/src/pages/AuditTrail.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AutoResponder,client/src/pages/AutoResponder.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AutomationEngine,client/src/pages/AutomationEngine.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AutomationRules,client/src/pages/AutomationRules.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AutomationWorkflows,client/src/pages/AutomationWorkflows.tsx,static-review,True,False,False,False,False,False,False,False,True
BackupManagement,client/src/pages/BackupManagement.tsx,static-review,True,False,False,False,False,False,False,False,False
Badges,client/src/pages/Badges.tsx,static-review,True,False,False,False,False,False,False,False,False
BanSuspendUser,client/src/pages/BanSuspendUser.tsx,interactive-review,True,False,False,False,False,True,False,False,False
BatchGeneration,client/src/pages/BatchGeneration.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
BattlePass,client/src/pages/BattlePass.tsx,integration-backed-review,True,True,False,True,True,True,True,False,False
BehavioralIntelligence,client/src/pages/BehavioralIntelligence.tsx,interactive-review,True,False,False,False,False,True,False,False,False
Beta,client/src/pages/Beta.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
BillingHistory,client/src/pages/BillingHistory.tsx,interactive-review,True,False,False,False,False,True,True,False,False
BlockBrowser,client/src/pages/BlockBrowser.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
BlockRewards,client/src/pages/BlockRewards.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
BlockUser,client/src/pages/BlockUser.tsx,interactive-review,True,False,False,False,False,True,False,False,False
BlockchainCustody,client/src/pages/BlockchainCustody.tsx,integration-backed-review,True,True,False,True,True,True,True,False,False
BlockchainMonitor,client/src/pages/BlockchainMonitor.tsx,interactive-review,True,False,False,False,False,True,True,False,False
BlockedUsers,client/src/pages/BlockedUsers.tsx,static-review,True,False,False,False,False,False,False,False,False
BlogEditor,client/src/pages/BlogEditor.tsx,interactive-review,True,False,False,False,False,True,True,False,False
BlogPublisher,client/src/pages/BlogPublisher.tsx,interactive-review,True,False,False,False,False,True,True,False,False
BookPage,client/src/pages/BookPage.tsx,interactive-review,True,False,False,False,False,True,True,False,False
Bookmarks,client/src/pages/Bookmarks.tsx,integration-backed-review,True,True,False,True,True,True,True,False,False
BountySystem,client/src/pages/BountySystem.tsx,integration-backed-review,True,True,False,True,True,True,True,False,False
BrandGuidelines,client/src/pages/BrandGuidelines.tsx,interactive-review,True,False,False,False,False,True,True,False,False
BreadcrumbNavigation,client/src/pages/BreadcrumbNavigation.tsx,interactive-review,True,False,False,False,False,True,False,False,False
BridgeProtocol,client/src/pages/BridgeProtocol.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
BridgeTransactions,client/src/pages/BridgeTransactions.tsx,interactive-review,True,False,False,False,False,True,True,False,False
BrowserExtension,client/src/pages/BrowserExtension.tsx,interactive-review,True,False,False,False,False,True,True,False,True
BudgetPlanner,client/src/pages/BudgetPlanner.tsx,interactive-review,True,False,False,False,False,True,True,False,False
BugReporting,client/src/pages/BugReporting.tsx,interactive-review,True,False,False,False,False,True,True,False,False
BuildOrder,client/src/pages/BuildOrder.tsx,static-review,True,False,False,False,False,False,False,False,False
BuildRoadmap,client/src/pages/BuildRoadmap.tsx,static-review,True,False,False,False,False,False,False,False,False
BulkOperations,client/src/pages/BulkOperations.tsx,interactive-review,True,False,False,False,False,True,True,False,False
BulkOrdering,client/src/pages/BulkOrdering.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
BulkUpload,client/src/pages/BulkUpload.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CCPA,client/src/pages/CCPA.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CDNManagement,client/src/pages/CDNManagement.tsx,static-review,True,False,False,False,False,False,False,False,False
CRM,client/src/pages/CRM.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CacheManagement,client/src/pages/CacheManagement.tsx,static-review,True,False,False,False,False,False,False,False,False
Calculator,client/src/pages/Calculator.tsx,interactive-review,True,False,False,False,False,True,True,False,False
Calendar,client/src/pages/Calendar.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CalendarView,client/src/pages/CalendarView.tsx,interactive-review,True,False,False,False,False,True,False,False,False
CampaignAnalytics,client/src/pages/CampaignAnalytics.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CampaignBuilder,client/src/pages/CampaignBuilder.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CampaignCreation,client/src/pages/CampaignCreation.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
CarRental,client/src/pages/CarRental.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CardGridView,client/src/pages/CardGridView.tsx,interactive-review,True,False,False,False,False,True,False,False,False
CashFlowAnalysis,client/src/pages/CashFlowAnalysis.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CategoryManagement,client/src/pages/CategoryManagement.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CertificateManager,client/src/pages/CertificateManager.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ChainExplorer,client/src/pages/ChainExplorer.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
ChangeLog,client/src/pages/ChangeLog.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ChannelCustomization,client/src/pages/ChannelCustomization.tsx,static-review,True,False,False,False,False,False,False,False,False
Charity,client/src/pages/Charity.tsx,integration-backed-review,True,True,False,True,True,True,True,False,True
CharityLeaderboard,client/src/pages/CharityLeaderboard.tsx,integration-backed-review,True,True,False,False,True,False,True,False,False
ChartAnalysis,client/src/pages/ChartAnalysis.tsx,static-review,True,False,False,False,False,False,False,False,False
ChartDashboard,client/src/pages/ChartDashboard.tsx,interactive-review,True,False,False,False,False,True,False,False,False
ChatBot,client/src/pages/ChatBot.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ChatHistory,client/src/pages/ChatHistory.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ChatMVP,client/src/pages/ChatMVP.tsx,integration-backed-review,True,True,False,True,True,True,True,False,True
CheckboxGroupForm,client/src/pages/CheckboxGroupForm.tsx,interactive-review,True,False,False,False,False,True,False,False,False
Checkout,client/src/pages/Checkout.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CheckoutFlow,client/src/pages/CheckoutFlow.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
ChinaEdition,client/src/pages/ChinaEdition.tsx,interactive-review,True,False,False,False,False,True,False,False,False
ChurnPrediction,client/src/pages/ChurnPrediction.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CitizenPassport,client/src/pages/CitizenPassport.tsx,integration-backed-review,True,True,False,False,True,False,False,False,False
CivilizationSimulator,client/src/pages/CivilizationSimulator.tsx,integration-backed-review,True,True,False,False,True,True,False,False,False
ClanWars,client/src/pages/ClanWars.tsx,integration-backed-review,True,True,False,False,True,True,True,False,False
ClassroomManagement,client/src/pages/ClassroomManagement.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ClientLibraries,client/src/pages/ClientLibraries.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ClosingChecklist,client/src/pages/ClosingChecklist.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CodeCompletion,client/src/pages/CodeCompletion.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
CodeFormatter,client/src/pages/CodeFormatter.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CodeHighlighting,client/src/pages/CodeHighlighting.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
CodeQuality,client/src/pages/CodeQuality.tsx,static-review,True,False,False,False,False,False,False,False,False
CodeQualityDashboard,client/src/pages/CodeQualityDashboard.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
CodeRepository,client/src/pages/CodeRepository.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CodeSamples,client/src/pages/CodeSamples.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CohortAnalysis,client/src/pages/CohortAnalysis.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ColorPickerDialog,client/src/pages/ColorPickerDialog.tsx,interactive-review,True,False,False,False,False,True,False,False,False
CommentThread,client/src/pages/CommentThread.tsx,interactive-review,True,False,False,False,False,True,True,False,False
Comments,client/src/pages/Comments.tsx,static-review,True,False,False,False,False,False,False,False,False
CommentsSection,client/src/pages/CommentsSection.tsx,interactive-review,True,False,False,False,False,True,False,False,False
CommissionManagement,client/src/pages/CommissionManagement.tsx,interactive-review,True,False,False,False,False,True,True,False,False
Community,client/src/pages/Community.tsx,integration-backed-review,True,True,False,True,True,True,True,False,False
CommunityCreate,client/src/pages/CommunityCreate.tsx,integration-backed-review,True,True,False,True,False,True,True,False,False
CommunityEngagement,client/src/pages/CommunityEngagement.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
CommunityGuidelines,client/src/pages/CommunityGuidelines.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CommunityHub,client/src/pages/CommunityHub.tsx,static-review,True,False,False,False,False,False,False,False,False
CompanySimulator,client/src/pages/CompanySimulator.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
CompetitiveRadar,client/src/pages/CompetitiveRadar.tsx,interactive-review,True,False,False,False,False,True,False,False,False
ComplianceCenter,client/src/pages/ComplianceCenter.tsx,integration-backed-review,True,True,False,True,True,True,True,False,True
ComplianceChecker,client/src/pages/ComplianceChecker.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ComplianceChecking,client/src/pages/ComplianceChecking.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
ComplianceDashboard,client/src/pages/ComplianceDashboard.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ComplianceReports,client/src/pages/ComplianceReports.tsx,static-review,True,False,False,False,False,False,False,False,False
ComponentShowcase,client/src/pages/ComponentShowcase.tsx,integration-backed-review,True,True,False,True,False,True,True,False,True
ComprehensiveEcosystemLanding,client/src/pages/ComprehensiveEcosystemLanding.tsx,static-review,True,False,False,False,False,False,False,False,True
ConfirmationDialog,client/src/pages/ConfirmationDialog.tsx,interactive-review,True,False,False,False,False,True,False,False,False
ConnectedApps,client/src/pages/ConnectedApps.tsx,interactive-review,True,False,False,False,False,True,False,False,False
ConnectionError,client/src/pages/ConnectionError.tsx,interactive-review,True,False,False,False,False,True,False,False,False
ConnectionRequests,client/src/pages/ConnectionRequests.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ConnectorIntelligence,client/src/pages/ConnectorIntelligence.tsx,interactive-review,True,False,False,False,False,True,False,False,False
ContactManagement,client/src/pages/ContactManagement.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ContactUsForm,client/src/pages/ContactUsForm.tsx,interactive-review,True,False,False,False,False,True,False,False,False
ContentAnalytics,client/src/pages/ContentAnalytics.tsx,static-review,True,False,False,False,False,False,False,False,False
ContentCalendar,client/src/pages/ContentCalendar.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ContentCollaboration,client/src/pages/ContentCollaboration.tsx,static-review,True,False,False,False,False,False,False,False,False
ContentFlagging,client/src/pages/ContentFlagging.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
ContentLibrary,client/src/pages/ContentLibrary.tsx,static-review,True,False,False,False,False,False,False,False,False
ContentModeration,client/src/pages/ContentModeration.tsx,static-review,True,False,False,False,False,False,False,False,False
ContentScheduler,client/src/pages/ContentScheduler.tsx,interactive-review,True,False,False,False,False,True,True,False,True
ContentScheduling,client/src/pages/ContentScheduling.tsx,static-review,True,False,False,False,False,False,False,False,False
ContentUpload,client/src/pages/ContentUpload.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
ContentVault,client/src/pages/ContentVault.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ContextMenu,client/src/pages/ContextMenu.tsx,interactive-review,True,False,False,False,False,True,False,False,False
ContractABI,client/src/pages/ContractABI.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ContractManagement,client/src/pages/ContractManagement.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
ContributionInterface,client/src/pages/ContributionInterface.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
ConversationArchive,client/src/pages/ConversationArchive.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
ConversationHistory,client/src/pages/ConversationHistory.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
ConversionFunnel,client/src/pages/ConversionFunnel.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ConversionOptimization,client/src/pages/ConversionOptimization.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CookiePolicy,client/src/pages/CookiePolicy.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CopyrightManagement,client/src/pages/CopyrightManagement.tsx,static-review,True,False,False,False,False,False,False,False,False
CostAllocation,client/src/pages/CostAllocation.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CostBasisCalculation,client/src/pages/CostBasisCalculation.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
CourseBuilder,client/src/pages/CourseBuilder.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CourseCatalog,client/src/pages/CourseCatalog.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CoverPhoto,client/src/pages/CoverPhoto.tsx,interactive-review,True,False,False,False,False,True,False,False,False
CreateArticle,client/src/pages/CreateArticle.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CreateAudio,client/src/pages/CreateAudio.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CreateDrop,client/src/pages/CreateDrop.tsx,interactive-review,True,False,False,False,False,True,True,False,True
CreateReel,client/src/pages/CreateReel.tsx,integration-backed-review,True,True,True,True,False,True,True,False,False
CreatorAnalytics,client/src/pages/CreatorAnalytics.tsx,integration-backed-review,True,True,False,False,True,True,False,False,True
CreatorDashboard,client/src/pages/CreatorDashboard.tsx,integration-backed-review,True,True,False,False,True,False,False,False,True
CreatorEconomy,client/src/pages/CreatorEconomy.tsx,interactive-review,True,False,False,False,False,True,False,False,False
CreatorFunding,client/src/pages/CreatorFunding.tsx,static-review,True,False,False,False,False,False,False,False,False
CreatorGrants,client/src/pages/CreatorGrants.tsx,static-review,True,False,False,False,False,False,False,False,False
CreatorIntelligence,client/src/pages/CreatorIntelligence.tsx,interactive-review,True,False,False,False,False,True,False,False,True
CreatorMonetization,client/src/pages/CreatorMonetization.tsx,integration-backed-review,True,True,False,False,True,False,False,False,False
CreatorNetwork,client/src/pages/CreatorNetwork.tsx,static-review,True,False,False,False,False,False,False,False,False
CreatorOnboarding,client/src/pages/CreatorOnboarding.tsx,interactive-review,True,False,False,False,False,True,False,False,False
CreatorProfile,client/src/pages/CreatorProfile.tsx,integration-backed-review,True,True,False,True,False,True,True,False,True
CreatorSpotlight,client/src/pages/CreatorSpotlight.tsx,interactive-review,True,False,False,False,False,True,True,False,True
CreatorStudio,client/src/pages/CreatorStudio.tsx,static-review,True,False,False,False,False,False,False,False,False
CrossChainInterop,client/src/pages/CrossChainInterop.tsx,interactive-review,True,False,False,False,False,True,True,False,True
CrossChainSwap,client/src/pages/CrossChainSwap.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
Crypto,client/src/pages/Crypto.tsx,integration-backed-review,True,True,False,False,True,False,True,False,True
CryptoEnhancementsPage,client/src/pages/CryptoEnhancementsPage.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
CryptoExchange,client/src/pages/CryptoExchange.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
CryptoHub,client/src/pages/CryptoHub.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
CryptoNews,client/src/pages/CryptoNews.tsx,static-review,True,False,False,False,False,False,False,False,False
CryptoResearchHub,client/src/pages/CryptoResearchHub.tsx,interactive-review,True,False,False,False,False,True,True,False,True
CustomDashboard,client/src/pages/CustomDashboard.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CustomReports,client/src/pages/CustomReports.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CustomerAnalytics,client/src/pages/CustomerAnalytics.tsx,interactive-review,True,False,False,False,False,True,True,False,False
CustomerDisputes,client/src/pages/CustomerDisputes.tsx,interactive-review,True,False,False,False,False,True,True,False,False
DAOGovernance,client/src/pages/DAOGovernance.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
DAOTreasury,client/src/pages/DAOTreasury.tsx,interactive-review,True,False,False,False,False,True,True,False,False
DCACalculator,client/src/pages/DCACalculator.tsx,static-review,True,False,False,False,False,False,False,False,False
DEXDepthChart,client/src/pages/DEXDepthChart.tsx,interactive-review,True,False,False,False,False,True,False,False,True
DMInbox,client/src/pages/DMInbox.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
Dashboard,client/src/pages/Dashboard.tsx,truthfully-gated,True,False,False,False,False,False,True,False,True
DashboardOverview,client/src/pages/DashboardOverview.tsx,interactive-review,True,False,False,False,False,True,True,False,False
DataExport,client/src/pages/DataExport.tsx,interactive-review,True,False,False,False,False,True,True,False,False
DataGrid,client/src/pages/DataGrid.tsx,interactive-review,True,False,False,False,False,True,False,False,False
DataLake,client/src/pages/DataLake.tsx,interactive-review,True,False,False,False,False,True,False,False,False
DataPrivacy,client/src/pages/DataPrivacy.tsx,interactive-review,True,False,False,False,False,True,True,False,False
DataProcessing,client/src/pages/DataProcessing.tsx,interactive-review,True,False,False,False,False,True,True,False,False
DataRetention,client/src/pages/DataRetention.tsx,interactive-review,True,False,False,False,False,True,True,False,False
DataTable,client/src/pages/DataTable.tsx,interactive-review,True,False,False,False,False,True,False,False,False
DataVisualization,client/src/pages/DataVisualization.tsx,interactive-review,True,False,False,False,False,True,True,False,False
